OBS,RATING,CODERTG,LOPMAR,LFIXCHAR,LGEARRAT,LTDCAP,LLEVER,LCASHLTD,LACIDRAT,LCURRAT,LRECTURN,LASSLTD
1,AAA,1,-1.663,0.749,-0.491,0.378,0.16,-1.225,0.433,1.12,1.629,1.277
2,AAA,1,-2.382,0.814,0.147,0.534,1.188,-1.552,-1.008,0.553,2.415,1.357
3,AAA,1,-1.401,2.561,-1.797,0.142,-0.531,0.496,0.314,1.014,1.728,2.273
4,AAA,1,-2.04,2.514,-1.528,0.178,-0.325,0.019,0.149,0.773,2.612,2.07
5,AAA,1,-1.36,2.432,-1.118,0.246,-0.085,-0.083,0.033,0.344,1.854,1.772
6,AAA,1,-1.687,2.891,-1.637,0.162,0.025,0.183,-0.051,0.328,2.197,2.361
7,AAA,1,-1.694,0.499,0.054,0.513,0.474,-1.539,0.745,0.897,1.949,0.907
8,AAA,1,-1.323,0.998,-0.936,0.281,-0.042,-0.187,0.001,0.863,1.349,1.704
9,AAA,1,-2.1,1.516,-1.654,0.159,0.251,0.342,-0.077,0.347,1.762,2.515
12,AA,2,-2.041,2.636,-1.714,0.152,-0.24,0.537,0.393,0.634,1.911,2.296
13,AA,2,-2.434,2.193,-0.779,0.314,0.113,-0.798,-0.215,0.686,2.324,1.592
14,AA,2,-2.473,1.155,-0.925,0.283,-0.177,-0.732,0.074,0.737,2.257,1.541
15,AA,2,-2.632,2.342,-1.387,0.199,-0.182,-0.233,-0.189,0.824,2.728,2.022
16,AA,2,-2.285,1.767,-1.493,0.183,-0.049,-0.154,-0.321,0.642,2.335,2.222
17,AA,2,-2.363,1.807,-0.77,0.316,0.007,-0.707,-0.072,0.644,2.778,1.498
18,AA,2,-2.108,1.783,-0.829,0.303,-0.004,-0.414,0.03,0.494,2.227,1.54
19,AA,2,-2.064,1.742,-0.598,0.354,0.089,-0.837,0.011,0.628,3.252,1.337
20,AA,2,-1.884,2.291,-1.339,0.206,-0.235,-0.102,-0.164,0.525,2.182,1.941
21,AA,2,-1.74,1.606,-0.832,0.303,-0.147,-0.636,0.502,0.953,1.637,1.466
22,AA,2,-1.684,1.354,-1.368,0.202,-0.364,0.137,0.205,0.883,1.886,1.912
23,AA,2,-1.743,1.626,-1.207,0.23,-0.066,-0.266,-0.229,0.543,1.718,1.917
24,AA,2,-1.776,1.153,-0.45,0.389,0.171,-0.898,-0.073,0.44,2.227,1.251
27,A,3,-1.72,1.239,-0.586,0.357,0.151,-0.935,0.11,0.876,1.758,1.377
28,A,3,-2.429,2.254,-1.221,0.226,-0.24,-0.297,0.061,0.751,2.325,1.812
29,A,3,-2.841,1.6,-1.235,0.225,-0.116,-0.413,0.07,0.932,2.724,1.915
30,A,3,-2.114,1.587,-0.833,0.302,-0.138,-0.776,-0.248,0.552,2.365,1.47
31,A,3,-1.416,1.353,-0.287,0.428,0.379,-0.75,-0.098,0.402,1.504,1.235
32,A,3,-1.466,1.679,-0.589,0.356,0.372,-0.487,-0.054,0.291,1.643,1.49
33,A,3,-1.85,1.49,-0.54,0.364,0.287,-0.546,0.156,0.619,1.899,1.4
34,A,3,-2.499,2.004,-0.492,0.378,0.525,-0.45,0.035,0.412,2.069,1.487
35,A,3,-2.388,1.248,-0.39,0.403,0.635,-0.664,-0.389,0.185,2.712,1.46
36,A,3,-2.014,1.736,-1.429,0.193,-0.417,-0.13,0.375,0.866,1.968,1.95
37,A,3,-1.704,3.691,-3.155,0.04,-0.936,1.573,0.122,0.998,2.033,3.493
38,A,3,-1.774,0.887,-0.532,0.369,0.013,-0.929,0.07,0.781,1.891,1.232
41,BAA,4,-3.323,1.021,-0.912,0.286,-0.049,-0.863,0.11,0.934,2.827,1.675
42,BAA,4,-2.147,1.373,-0.861,0.297,-0.233,-0.803,0.508,1.087,1.706,1.453
43,BAA,4,-1.844,2.238,-1.391,0.199,-0.45,-0.171,0.239,1.006,1.662,1.892
44,BAA,4,-2.145,1.834,-1.857,0.134,-0.3,0.219,0.182,0.808,1.675,2.428
45,BAA,4,-2.443,0.505,-0.622,0.348,0.136,-1.243,0.154,0.828,1.86,1.4
46,BAA,4,-2.195,1.546,-1.122,0.244,-0.057,-0.492,0.038,0.583,1.833,1.79
47,BAA,4,-2.353,0.816,-0.884,0.292,-0.047,-0.791,-0.034,0.716,2.086,1.569
48,BAA,4,-2.296,1.283,-0.695,0.332,-0.02,-0.984,-0.083,0.588,2.281,1.381
49,BAA,4,-2.403,1.597,-1.13,0.243,0.441,-0.148,-0.73,0.499,2.545,2.097
50,BAA,4,-2.194,1.601,-0.79,0.311,0.272,-0.675,-0.224,0.612,1.923,1.649
51,BAA,4,-1.288,1.727,-0.734,0.324,0.177,-0.502,-0.048,0.957,1.575,1.544
52,BAA,4,-2.163,1.097,-1.099,0.249,-0.101,-0.453,-0.709,0.787,3.011,1.763
53,BAA,4,-1.987,0.528,-1.059,0.257,-0.049,-0.531,-0.225,0.476,1.433,1.742
56,BA,5,-1.595,0.936,-0.62,0.349,0.13,-1.301,-0.315,0.784,1.625,1.411
57,BA,5,-2.024,2.363,-1.897,0.13,-0.318,0.506,0.317,0.662,1.992,2.458
58,BA,5,-1.282,1.293,-0.169,0.457,0.398,-0.98,0.563,0.77,1.557,1.082
59,BA,5,-1.629,2.101,-0.418,0.395,0.703,-0.743,-0.084,0.233,2.047,1.534
60,BA,5,-2.297,2.629,-1.387,0.199,-0.452,-0.33,0.678,1.243,1.738,1.88
61,BA,5,-2.486,1.719,-0.739,0.323,-0.154,-1.383,0.59,1.224,1.556,1.358
62,BA,5,-1.674,2.229,-0.605,0.353,0.355,-0.539,-0.713,0.299,2.438,1.495
63,BA,5,-2.205,1.385,-0.744,0.322,-0.077,-1.057,0.306,0.884,1.883,1.419
64,BA,5,-2.451,1.29,-0.33,0.418,0.345,-1.252,0.204,0.73,1.898,1.211
65,BA,5,-1.552,2.089,-0.405,0.399,0.176,-0.76,0.216,0.759,1.935,1.202
66,BA,5,-2.281,1.055,-0.452,0.388,0.128,-1.138,0.004,0.83,2.295,1.233
67,BA,5,-1.901,2.523,-1.187,0.233,-0.244,-0.166,0.022,0.726,2.083,1.767
68,BA,5,-2.387,0.583,-0.901,0.288,-0.024,-0.952,-0.006,0.569,2.303,1.581
71,B,6,-0.661,0.177,0.101,0.525,0.638,-1.473,-0.205,0.189,0.586,0.96
72,B,6,-0.486,1.345,0.48,0.617,0.733,-1.242,0.683,1.186,0.9,0.727
73,B,6,-3.399,0.518,-0.149,0.462,0.096,-1.709,-0.009,0.756,3.025,0.925
74,B,6,-2.475,0.847,-0.48,0.382,0.189,-1.892,0.265,0.96,1.092,1.409
75,B,6,-2.116,1.39,-0.218,0.445,0.499,-0.983,0.233,0.649,1.735,1.253
