OBS,RATING,CODERTG,LOPMAR,LFIXCHAR,LGEARRAT,LTDCAP,LLEVER,LCASHLTD,LACIDRAT,LCURRAT,LRECTURN,LASSLTD
8,AAA,1,-1.323,0.998,-0.936,0.281,-0.042,-0.187,0.001,0.863,1.349,1.704
9,AAA,1,-2.1,1.516,-1.654,0.159,0.251,0.342,-0.077,0.347,1.762,2.515
23,AA,2,-1.743,1.626,-1.207,0.23,-0.066,-0.266,-0.229,0.543,1.718,1.917
24,AA,2,-1.776,1.153,-0.45,0.389,0.171,-0.898,-0.073,0.44,2.227,1.251
37,A,3,-1.704,3.691,-3.155,0.04,-0.936,1.573,0.122,0.998,2.033,3.493
38,A,3,-1.774,0.887,-0.532,0.369,0.013,-0.929,0.07,0.781,1.891,1.232
52,BAA,4,-2.163,1.097,-1.099,0.249,-0.101,-0.453,-0.709,0.787,3.011,1.763
53,BAA,4,-1.987,0.528,-1.059,0.257,-0.049,-0.531,-0.225,0.476,1.433,1.742
67,BA,5,-1.901,2.523,-1.187,0.233,-0.244,-0.166,0.022,0.726,2.083,1.767
68,BA,5,-2.387,0.583,-0.901,0.288,-0.024,-0.952,-0.006,0.569,2.303,1.581
80,B,6,-2.305,0.655,-0.1,0.474,0.164,-1.715,-0.299,0.705,1.96,0.93
81,B,6,-2.435,1.179,0.034,0.506,0.626,-1.482,-0.189,0.846,2.011,1.098
92,C,7,-1.147,0,0.024,0.503,0.381,-1.484,-0.348,0.088,1.903,0.886
93,C,7,-2.478,0.563,-0.099,0.475,0.29,-1.213,0.046,0.292,2.359,0.992
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
