Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
"3D Road Network (North Jutland, Denmark)","Sequential, Text ","Regression, Clustering ",Real ,434874,4,2013 
AAAI 2013 Accepted Papers,Multivariate ,Clustering ,,150,5,2014 
AAAI 2014 Accepted Papers,Multivariate ,Clustering ,,399,6,2014 
Abalone,Multivariate ,Classification ,"Categorical, Integer, Real ",4177,8,1995 
Abscisic Acid Signaling Network,Multivariate ,Causal-Discovery ,Integer ,300,43,2008 
Absenteeism at work,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",740,21,2018 
Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",,2747,0,2013 
Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real ,0,0,2014 
Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series ",Classification ,Real ,42240,6,2016 
Activity recognition with healthy older people using a batteryless wearable sensor,Sequential ,Classification ,Real ,75128,9,2016 
Acute Inflammations,Multivariate ,Classification ,"Categorical, Integer ",120,6,2009 
Adult,Multivariate ,Classification ,"Categorical, Integer ",48842,14,1996 
Air Quality,"Multivariate, Time-Series ",Regression ,Real ,9358,15,2016 
Air quality,"Multivariate, Time-Series ",Regression ,Real ,9358,15,2016 
Airfoil Self-Noise,Multivariate ,Regression ,Real ,1503,6,2014 
ElectricityLoadDiagrams20112014,Time-Series ,"Regression, Clustering ",Real ,370,140256,2015 
Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory ",Classification ,Real ,1500,10000,2011 
Annealing,Multivariate ,Classification ,"Categorical, Integer, Real ",798,38,
Anonymous Microsoft Web Data,,Recommender-Systems ,Categorical ,37711,294,1998 
Anuran Calls (MFCCs),Multivariate ,"Classification, Clustering ",Real ,7195,22,2017 
Appliances energy prediction,"Multivariate, Time-Series ",Regression ,Real ,19735,29,2017 
APS Failure at Scania Trucks,Multivariate ,Classification ,"Integer, Real ",60000,171,2017 
Arcene,Multivariate ,Classification ,Real ,900,10000,2008 
Arrhythmia,Multivariate ,Classification ,"Categorical, Integer, Real ",452,279,1998 
Artificial Characters,Multivariate ,Classification ,"Categorical, Integer, Real ",6000,7,1992 
Audiology (Original),Multivariate ,Classification ,Categorical ,226,0,1987 
Audiology (Standardized),Multivariate ,Classification ,Categorical ,226,69,1992 
Australian Sign Language signs,"Multivariate, Time-Series ",Classification ,"Categorical, Real ",6650,15,1999 
Australian Sign Language signs (High Quality),"Multivariate, Time-Series ",Classification ,Real ,2565,22,2002 
Autism Screening Adult,,Classification ,Integer ,704,21,2017 
Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate ,Classification ,Integer ,104,21,2017 
Autistic Spectrum Disorder Screening Data for Children,Multivariate ,Classification ,Integer ,292,21,2017 
Auto MPG,Multivariate ,Regression ,"Categorical, Real ",398,8,1993 
Automobile,Multivariate ,Regression ,"Categorical, Integer, Real ",205,26,1987 
AutoUniv,Multivariate ,Classification ,"Categorical, Integer, Real ",0,0,2010 
Bach Choral Harmony,Sequential ,Classification ,,5665,17,2014 
Bach Chorales,"Univariate, Time-Series ",,"Categorical, Integer ",100,6,
Badges,"Univariate, Text ",Classification ,,294,1,1994 
Bag of Words,Text ,Clustering ,Integer ,8000000,100000,2008 
Balance Scale,Multivariate ,Classification ,Categorical ,625,4,1994 
Balloons,Multivariate ,Classification ,Categorical ,16,4,
Bank Marketing,Multivariate ,Classification ,Real ,45211,17,2012 
banknote authentication,Multivariate ,Classification ,Real ,1372,5,2013 
Beijing PM2.5 Data,"Multivariate, Time-Series ",Regression ,"Integer, Real ",43824,13,2017 
Bike Sharing Dataset,Univariate ,Regression ,"Integer, Real ",17389,16,2013 
BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Integer ,6611,15,2018 
Amazon Access Samples,"Time-Series, Domain-Theory ","Regression, Clustering, Causal-Discovery ",,30000,20000,2011 
BLOGGER,Multivariate ,Classification ,,100,6,2013 
Blood Transfusion Service Center,Multivariate ,Classification ,Real ,748,5,2008 
Breast Cancer,Multivariate ,Classification ,Categorical ,286,9,1988 
Breast Cancer Coimbra,Multivariate ,Classification ,Integer ,116,10,2018 
Breast Cancer Wisconsin (Diagnostic),Multivariate ,Classification ,Real ,569,32,1995 
Breast Cancer Wisconsin (Original),Multivariate ,Classification ,Integer ,699,10,1992 
Breast Cancer Wisconsin (Prognostic),Multivariate ,"Classification, Regression ",Real ,198,34,1995 
Breast Tissue,Multivariate ,Classification ,Real ,106,10,2010 
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text ,Classification ,Integer ,1075,22,2017 
Buzz in social media,"Time-Series, Multivariate ","Regression, Classification ","Integer, Real ",140000,77,2013 
CalIt2 Building People Counts,"Multivariate, Time-Series ",,"Categorical, Integer ",10080,4,2006 
Car Evaluation,Multivariate ,Classification ,Categorical ,1728,6,1997 
Carbon Nanotubes,Univariate ,Regression ,Real ,10721,8,2018 
Cardiotocography,Multivariate ,Classification ,Real ,2126,23,2010 
Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential ","Classification, Regression ",Integer ,3942,98,2016 
Census Income,Multivariate ,Classification ,"Categorical, Integer ",48842,14,1996 
Census-Income (KDD),Multivariate ,Classification ,"Categorical, Integer ",299285,40,2000 
Cervical cancer (Risk Factors),Multivariate ,Classification ,"Integer, Real ",858,36,2017 
Challenger USA Space Shuttle O-Ring,Multivariate ,Regression ,Integer ,23,4,1993 
Character Font Images,Multivariate ,Classification ,"Integer, Real ",745000,411,2016 
Character Trajectories,Time-Series ,"Classification, Clustering ",Real ,2858,3,2008 
Chess (Domain Theories),Domain-Theory ,,,0,0,
Chess (King-Rook vs. King),Multivariate ,Classification ,"Categorical, Integer ",28056,6,1994 
Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator ",Classification ,"Categorical, Integer ",0,22,1988 
Chess (King-Rook vs. King-Pawn),Multivariate ,Classification ,Categorical ,3196,36,1989 
chestnut – LARVIC,,"Classification, Clustering ",,1451,3,2017 
chipseq,Sequential ,Classification ,Integer ,4960,0,2018 
Chronic_Kidney_Disease,Multivariate ,Classification ,Real ,400,25,2015 
Climate Model Simulation Crashes,Multivariate ,Classification ,Real ,540,18,2013 
Cloud,Multivariate ,,Real ,1024,10,1989 
CMU Face Images,Image ,Classification ,Integer ,640,0,1999 
CNAE-9,"Multivariate, Text ",Classification ,Integer ,1080,857,2012 
Coil 1999 Competition Data,Multivariate ,,"Categorical, Real ",340,17,1999 
Combined Cycle Power Plant,Multivariate ,Regression ,Real ,9568,4,2014 
DrivFace,Multivariate ,"Classification, Regression, Clustering ",Real ,606,6400,2016 
UJIIndoorLoc,Multivariate ,"Classification, Regression ","Integer, Real ",21048,529,2014 
Computer Hardware,Multivariate ,Regression ,Integer ,209,9,1987 
Concrete Compressive Strength,Multivariate ,Regression ,Real ,1030,9,2007 
Concrete Slump Test,Multivariate ,Regression ,Real ,103,10,2009 
Condition Based Maintenance of Naval Propulsion Plants,Multivariate ,Regression ,Real ,11934,16,2014 
Condition monitoring of hydraulic systems,"Multivariate, Time-Series ","Classification, Regression ",Real ,2205,43680,2018 
Congressional Voting Records,Multivariate ,Classification ,Categorical ,435,16,1987 
Connect-4,"Multivariate, Spatial ",Classification ,Categorical ,67557,42,1995 
Connectionist Bench (Nettalk Corpus),Multivariate ,,Categorical ,20008,4,
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate ,Classification ,Real ,208,60,
Connectionist Bench (Vowel Recognition - Deterding Data),,Classification ,Real ,528,10,
Container Crane Controller Data Set,"Univariate, Domain-Theory ","Classification, Regression ",Real ,15,3,2018 
Contraceptive Method Choice,Multivariate ,Classification ,"Categorical, Integer ",1473,9,1997 
Corel Image Features,Multivariate ,,Real ,68040,89,1999 
Covertype,Multivariate ,Classification ,"Categorical, Integer ",581012,54,1998 
Credit Approval,Multivariate ,Classification ,"Categorical, Integer, Real ",690,15,
Crowdsourced Mapping,Multivariate ,Classification ,,10546,29,2016 
Cryotherapy Dataset,Univariate ,Classification ,"Integer, Real ",90,7,2018 
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate ,"Classification, Regression ",Integer ,217,12,2017 
Cuff-Less Blood Pressure Estimation,Multivariate ,"Classification, Regression ",Real ,12000,3,2015 
Cylinder Bands,Multivariate ,Classification ,"Categorical, Integer, Real ",512,39,1995 
Daily and Sports Activities,"Multivariate, Time-Series ","Classification, Clustering ",Real ,9120,5625,2013 
Daily Demand Forecasting Orders,Time-Series ,Regression ,Integer ,60,13,2017 
Daphnet Freezing of Gait,"Multivariate, Time-Series ",Classification ,Real ,237,9,2013 
Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series ",Classification ,"Integer, Real ",74,102,2017 
Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series ","Classification, Clustering ",,0,3,2014 
Dataset for Sensorless Drive Diagnosis,Multivariate ,Classification ,Real ,58509,49,2015 
DBWorld e-mails,Text ,Classification ,,64,4702,2011 
default of credit card clients,Multivariate ,Classification ,"Integer, Real ",30000,24,2016 
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text ,Classification ,Integer ,12234,8519,2016 
Demospongiae,Multivariate ,Classification ,Integer ,503,0,2010 
Dermatology,Multivariate ,Classification ,"Categorical, Integer ",366,33,1998 
Detect Malacious Executable(AntiVirus),Multivariate ,Classification ,Real ,373,513,2016 
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential ","Classification, Clustering ",Real ,1000000,115,2018 
Devanagari Handwritten Character Dataset,,Classification ,Integer ,92000,0,2016 
Dexter,Multivariate ,Classification ,Integer ,2600,20000,2008 
DGP2 - The Second Data Generation Program,Data-Generator ,,Real ,0,0,
Diabetes,"Multivariate, Time-Series ",,"Categorical, Integer ",0,20,
Diabetes 130-US hospitals for years 1999-2008,Multivariate ,"Classification, Clustering ",Integer ,100000,55,2014 
Diabetic Retinopathy Debrecen Data Set,Multivariate ,Classification ,"Integer, Real ",1151,20,2014 
Discrete Tone Image Dataset,Multivariate ,Classification ,,71,11,2018 
Dishonest Internet users Dataset,Multivariate ,"Classification, Clustering ",,322,5,2018 
Document Understanding,,,,0,0,1994 
Dodgers Loop Sensor,"Multivariate, Time-Series ",,"Categorical, Integer ",50400,3,2006 
Dorothea,Multivariate ,Classification ,Integer ,1950,100000,2008 
Dota2 Games Results,Multivariate ,Classification ,,102944,116,2016 
Dow Jones Index,Time-Series ,"Classification, Clustering ","Integer, Real ",750,16,2014 
Dresses_Attribute_Sales,Text ,"Classification, Clustering ",,501,13,2014 
KDD Cup 1998 Data,Multivariate ,Regression ,"Categorical, Integer ",191779,481,1998 
Drug consumption (quantified),Multivariate ,Classification ,Real ,1885,32,2016 
DSRC Vehicle Communications,"Sequential, Text ",Clustering ,Real ,10000,5,2017 
Dynamic Features of VirusShare Executables,"Multivariate, Time-Series ","Classification, Regression ",Integer ,107888,482,2017 
E. Coli Genes,Relational ,,,0,0,2001 
Relative location of CT slices on axial axis,Domain-Theory ,Regression ,Real ,53500,386,2011 
EBL Domain Theories,,,,0,0,
Echocardiogram,Multivariate ,Classification ,"Categorical, Integer, Real ",132,12,1989 
Eco-hotel,Text ,,,401,1,2017 
Ecoli,Multivariate ,Classification ,Real ,336,8,1996 
Economic Sanctions,Domain-Theory ,,,0,0,
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer ,230318,13,2015 
EEG Database,"Multivariate, Time-Series ",,"Categorical, Integer, Real ",122,4,1999 
EEG Eye State,"Multivariate, Sequential, Time-Series ",Classification ,"Integer, Real ",14980,15,2013 
El Nino,Spatio-temporal ,,"Integer, Real ",178080,12,1999 
BlogFeedback,Multivariate ,Regression ,"Integer, Real ",60021,281,2014 
EMG dataset in Lower Limb,"Multivariate, Time-Series ",,Real ,132,5,2014 
EMG Physical Action Data Set,Time-Series ,Classification ,Real ,10000,8,2011 
Energy efficiency,Multivariate ,"Classification, Regression ","Integer, Real ",768,8,2012 
Entree Chicago Recommendation Data,"Transactional, Sequential ",Recommender-Systems ,Categorical ,50672,0,2000 
Epileptic Seizure Recognition,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",11500,179,2017 
extention of Z-Alizadeh sani dataset,,Classification ,"Integer, Real ",303,59,2017 
NoisyOffice,Multivariate ,"Classification, Regression ",Real ,216,216,2015 
Facebook metrics,Multivariate ,Regression ,Integer ,500,19,2016 
Farm Ads,Text ,Classification ,,4143,54877,2011 
Fertility,Multivariate ,"Classification, Regression ",Real ,100,10,2013 
Firm-Teacher_Clave-Direction_Classification,Multivariate ,Classification ,,10800,20,2015 
First-order theorem proving,Multivariate ,Classification ,Real ,6118,51,2013 
Flags,Multivariate ,Classification ,"Categorical, Integer ",194,30,1990 
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series ","Classification, Clustering ",Real ,106574,518,2017 
Folio,Multivariate ,"Classification, Clustering ",,637,20,2015 
Forest Fires,Multivariate ,Regression ,Real ,517,13,2008 
Forest type mapping,Multivariate ,Classification ,,326,27,2015 
Function Finding,,Function-Learning ,Real ,352,0,1990 
Gas Sensor Array Drift Dataset,Multivariate ,Classification ,Real ,13910,128,2012 
Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series ","Classification, Regression, Clustering, Causa ",Real ,13910,129,2013 
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,180,150000,2014 
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,4178504,19,2015 
Gas sensor array under flow modulation,"Multivariate, Time-Series ","Classification, Regression ",Real ,58,120432,2014 
Gas sensor arrays in open sampling settings,"Multivariate, Time-Series ",Classification ,Real ,18000,1950000,2013 
Gas sensors for home activity monitoring,"Multivariate, Time-Series ",Classification ,Real ,919438,11,2016 
Gastrointestinal Lesions in Regular Colonoscopy,Multivariate ,Classification ,Real ,76,698,2016 
gene expression cancer RNA-Seq,Multivariate ,"Classification, Clustering ",Real ,801,20531,2016 
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ","Integer, Real ",153540,25,2017 
Communities and Crime Unnormalized,Multivariate ,Regression ,Real ,2215,147,2011 
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Real ,9900,50,2014 
Gisette,Multivariate ,Classification ,Integer ,13500,5000,2008 
Glass Identification,Multivariate ,Classification ,Real ,214,10,1987 
GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series ",Regression ,Real ,1672,5,2018 
GPS Trajectories,Multivariate ,"Classification, Regression ",Real ,163,15,2016 
Grammatical Facial Expressions,"Multivariate, Sequential ","Classification, Clustering ",Real ,27965,100,2014 
Greenhouse Gas Observing Network,"Multivariate, Time-Series ",Regression ,Real ,2921,5232,2015 
Haberman's Survival,Multivariate ,Classification ,Integer ,306,3,1999 
Hayes-Roth,Multivariate ,Classification ,Categorical ,160,5,1989 
